artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of
Adele,Easy On Me,True,https://www.whosampled.com/Adele/Easy-On-Me/,2021,3,0,34,0,0,0
The Kid LAROI;Justin Bieber,STAY (with Justin Bieber),True,https://www.whosampled.com/The-Kid-LAROI/STAY/,2021,9,0,25,0,0,0
Walker Hayes,Fancy Like,True,https://www.whosampled.com/Walker-Hayes/Fancy-Like/,2021,2,0,3,0,2,0
Ed Sheeran,Bad Habits,True,https://www.whosampled.com/Ed-Sheeran/Bad-Habits/,2021,5,0,23,0,8,0
Ed Sheeran,Shivers,True,https://www.whosampled.com/Ed-Sheeran/Shivers/,2021,1,0,13,0,9,0
Olivia Rodrigo,good 4 u,True,https://www.whosampled.com/Olivia-Rodrigo/good-4-u/,2021,9,0,21,0,0,0
Doja Cat,Need to Know,True,https://www.whosampled.com/Doja-Cat/Need-to-Know/,2021,1,0,3,0,0,0
Dua Lipa,Levitating,True,https://www.whosampled.com/Dua-Lipa/Levitating/,2020,7,0,16,0,3,0
Wizkid;Justin Bieber;Tems,Essence (feat. Justin Bieber & Tems),True,https://www.whosampled.com/Wizkid/Essence/,2020,2,0,2,0,1,0
Doja Cat;SZA,Kiss Me More (feat. SZA),True,https://www.whosampled.com/Doja-Cat/Kiss-Me-More/,2021,6,0,13,0,1,0
Glass Animals,Heat Waves,True,https://www.whosampled.com/Glass-Animals/Heat-Waves/,2020,4,0,12,0,7,0
Elton John;Dua Lipa;PNAU,Cold Heart - PNAU Remix,True,https://www.whosampled.com/Elton-John/Cold-Heart---PNAU-Remix/,,0,0,0,0,0,0
Doja Cat;The Weeknd,You Right,True,https://www.whosampled.com/Doja-Cat/You-Right/,2021,0,0,6,0,0,0
The Weeknd,Save Your Tears,True,https://www.whosampled.com/The-Weeknd/Save-Your-Tears/,2020,5,0,18,0,2,0
Olivia Rodrigo,traitor,True,https://www.whosampled.com/Olivia-Rodrigo/traitor/,2021,1,0,10,0,0,0
Lil Nas X,MONTERO (Call Me By Your Name),True,https://www.whosampled.com/Lil-Nas-X/MONTERO/,,0,0,0,0,0,0
Swedish House Mafia;The Weeknd,Moth To A Flame (with The Weeknd),True,https://www.whosampled.com/Swedish-House-Mafia/Moth-To-A-Flame/,2021,2,0,1,0,5,0
Lil Nas X,THATS WHAT I WANT,True,https://www.whosampled.com/Lil-Nas-X/THATS-WHAT-I-WANT/,,0,0,0,0,0,0
Farruko,Pepas,True,https://www.whosampled.com/Farruko/Pepas/,2021,3,0,4,0,5,0
Billie Eilish,Happier Than Ever,True,https://www.whosampled.com/Billie-Eilish/Happier-Than-Ever/,2021,3,0,13,0,0,0
NEIKED;Mae Muller;Polo G,Better Days,True,https://www.whosampled.com/NEIKED/Better-Days/,2021,0,0,1,0,2,0
Jordan Davis;Luke Bryan,Buy Dirt,True,https://www.whosampled.com/Jordan-Davis/Buy-Dirt/,2021,0,0,1,0,0,0
Justin Bieber,Ghost,True,https://www.whosampled.com/Justin-Bieber/Ghost/,2021,1,0,10,0,0,0
Tai Verdes,A-O-K,True,https://www.whosampled.com/Tai-Verdes/A-O-K/,2021,0,0,0,0,2,0
Drake;Travis Scott,Fair Trade (with Travis Scott),True,https://www.whosampled.com/Drake/Fair-Trade/,2021,2,0,1,0,0,0
Kenny Chesney,Knowing You,True,https://www.whosampled.com/Kenny-Chesney/Knowing-You/,2020,0,0,1,0,0,0
Kane Brown;blackbear,Memory,True,https://www.whosampled.com/Kane-Brown/Memory/,2021,0,0,2,0,0,0
Lil Tjay;Fivio Foreign;Kay Flock,Not In The Mood (feat. Fivio Foreign & Kay Flock),True,https://www.whosampled.com/Lil-Tjay/Not-In-The-Mood/,2021,0,0,1,0,0,0
Doja Cat,Woman,True,https://www.whosampled.com/Doja-Cat/Woman/,2021,1,0,3,0,0,0
Cody Johnson,'Til You Can't,True,https://www.whosampled.com/Cody-Johnson/%27Til-You-Can%27t/,2021,0,0,1,0,0,0
Michael Ray,Whiskey and Rain,True,https://www.whosampled.com/Michael-Ray/Whiskey-and-Rain/,,0,0,0,0,0,0
Aventura;Bad Bunny,Volví,True,https://www.whosampled.com/Aventura/Volví/,2021,0,0,0,0,0,0
Sleepy Hallow,2055,True,https://www.whosampled.com/Sleepy-Hallow/2055/,2021,0,0,1,0,0,0
Tainy;Bad Bunny;Julieta Venegas,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),True,https://www.whosampled.com/Tainy/Lo-Siento-BB/,,0,0,0,0,0,0
LISA,MONEY,True,https://www.whosampled.com/LISA/MONEY/,2021,2,0,6,0,0,0
Parker McCollum,To Be Loved By You,True,https://www.whosampled.com/Parker-McCollum/To-Be-Loved-By-You/,,0,0,0,0,0,0
Oliver Tree,Life Goes On,True,https://www.whosampled.com/Oliver-Tree/Life-Goes-On/,2021,0,0,2,0,4,0
Marshmello;Jonas Brothers,Leave Before You Love Me (with Jonas Brothers),True,https://www.whosampled.com/Marshmello/Leave-Before-You-Love-Me/,2021,0,0,5,0,0,0
Olivia Rodrigo,deja vu,True,https://www.whosampled.com/Olivia-Rodrigo/deja-vu/,2021,4,0,11,0,0,0
Bad Bunny,Yonaguni,True,https://www.whosampled.com/Bad-Bunny/Yonaguni/,2021,1,0,4,0,0,0
Justin Bieber;Daniel Caesar;Giveon,Peaches (feat. Daniel Caesar & Giveon),True,https://www.whosampled.com/Justin-Bieber/Peaches/,2021,4,0,10,0,3,0
Rauw Alejandro,Todo De Ti,True,https://www.whosampled.com/Rauw-Alejandro/Todo-De-Ti/,2021,0,0,1,0,0,0
Shawn Mendes;Tainy,Summer Of Love,True,https://www.whosampled.com/Shawn-Mendes/Summer-Of-Love/,2021,0,0,1,0,0,0
Elle King;Miranda Lambert,Drunk (And I Don't Wanna Go Home),True,https://www.whosampled.com/Elle-King/Drunk/,,0,0,0,0,0,0
BTS,Butter,True,https://www.whosampled.com/BTS/Butter/,2021,4,0,16,0,3,0
TWICE,The Feels,True,https://www.whosampled.com/TWICE/The-Feels/,,0,0,0,0,0,0
Duncan Laurence,Arcade,True,https://www.whosampled.com/Duncan-Laurence/Arcade/,2019,3,0,8,0,2,0
J Balvin;Skrillex,In Da Getto,True,https://www.whosampled.com/J-Balvin/In-Da-Getto/,2021,4,0,2,0,4,0
Thomas Rhett,Country Again,True,https://www.whosampled.com/Thomas-Rhett/Country-Again/,,0,0,0,0,0,0
LISA,LALISA,True,https://www.whosampled.com/LISA/LALISA/,2021,1,0,4,0,0,0
Cole Swindell,Single Saturday Night,True,https://www.whosampled.com/Cole-Swindell/Single-Saturday-Night/,2020,0,0,2,0,0,0
Giveon,Heartbreak Anniversary,True,https://www.whosampled.com/Giveon/Heartbreak-Anniversary/,2020,0,0,12,0,0,0
Luke Combs,Forever After All,True,https://www.whosampled.com/Luke-Combs/Forever-After-All/,2020,0,0,3,0,0,0
Halsey,"I am not a woman, I'm a god",True,https://www.whosampled.com/Halsey/I-am-not-a-woman-I%27m-a-god/,,0,0,0,0,0,0
The Weeknd,Blinding Lights,True,https://www.whosampled.com/The-Weeknd/Blinding-Lights/,2019,10,0,54,0,3,0
Dan + Shay,Glad You Exist,False,,,,,,,,
The Kid LAROI,WITHOUT YOU,True,https://www.whosampled.com/The-Kid-LAROI/WITHOUT-YOU/,2020,0,0,6,0,1,0
Masked Wolf,Astronaut In The Ocean,True,https://www.whosampled.com/Masked-Wolf/Astronaut-In-The-Ocean/,2019,10,0,9,0,2,0
Ed Sheeran,Visiting Hours,True,https://www.whosampled.com/Ed-Sheeran/Visiting-Hours/,2021,0,0,3,0,0,0
Regard;Troye Sivan;Tate McRae,You,True,https://www.whosampled.com/Regard/You/,2021,0,0,1,0,2,0
Clinton Kane,I GUESS I'M IN LOVE,True,https://www.whosampled.com/Clinton-Kane/I-GUESS-I%27M-IN-LOVE/,2021,0,0,2,0,0,0
BTS,Permission to Dance,True,https://www.whosampled.com/BTS/Permission-to-Dance/,2021,0,0,9,0,0,0
Jack Harlow;Pooh Shiesty,SUVs (Black on Black),True,https://www.whosampled.com/Jack-Harlow/SUVs/,,0,0,0,0,0,0
DaBaby,Ball If I Want To,True,https://www.whosampled.com/DaBaby/Ball-If-I-Want-To/,2021,1,0,0,0,0,0
Dan + Shay,Steal My Love,False,,,,,,,,
Machine Gun Kelly;blackbear,my ex's best friend,True,https://www.whosampled.com/Machine-Gun-Kelly/my-ex%27s-best-friend/,2020,0,0,4,0,0,0
Billie Eilish,NDA,True,https://www.whosampled.com/Billie-Eilish/NDA/,2021,1,0,2,0,0,0
Nas;Eminem;EPMD,EPMD 2 (feat. Eminem & EPMD),True,https://www.whosampled.com/Nas/EPMD-2/,2021,0,0,1,0,0,1
Olivia Rodrigo,happier,True,https://www.whosampled.com/Olivia-Rodrigo/happier/,2021,0,0,11,0,0,0
Los Legendarios;Wisin;Jhay Cortez,Fiel,True,https://www.whosampled.com/Los-Legendarios/Fiel/,2021,0,0,1,0,1,0
Nas,Rare,True,https://www.whosampled.com/Nas/Rare/,2021,0,0,0,0,0,0
24kGoldn;iann dior,Mood (feat. iann dior),True,https://www.whosampled.com/24kGoldn/Mood/,2020,5,0,12,0,1,0
Billie Eilish,Billie Bossa Nova,True,https://www.whosampled.com/Billie-Eilish/Billie-Bossa-Nova/,2021,0,0,2,0,0,0
Billie Eilish,Oxytocin,True,https://www.whosampled.com/Billie-Eilish/Oxytocin/,2021,0,0,1,0,0,0
Billie Eilish,I Didn't Change My Number,True,https://www.whosampled.com/Billie-Eilish/I-Didn%27t-Change-My-Number/,2021,0,0,0,0,0,0
Billie Eilish,Lost Cause,True,https://www.whosampled.com/Billie-Eilish/Lost-Cause/,2021,0,0,2,0,0,0
Billie Eilish,my future,True,https://www.whosampled.com/Billie-Eilish/my-future/,2020,0,0,10,0,0,0
Bella Poarch,Build a Bitch,True,https://www.whosampled.com/Bella-Poarch/Build-a-Bitch/,2021,1,0,7,0,1,0
Olivia Rodrigo,drivers license,True,https://www.whosampled.com/Olivia-Rodrigo/drivers-license/,2021,7,0,40,0,0,0
Lil Tjay;6LACK,Calling My Phone,True,https://www.whosampled.com/Lil-Tjay/Calling-My-Phone/,2021,1,0,2,0,0,0
Imagine Dragons,Follow You,True,https://www.whosampled.com/Imagine-Dragons/Follow-You/,2021,0,0,1,0,0,0
Dua Lipa;DaBaby,Levitating (feat. DaBaby),True,https://www.whosampled.com/Dua-Lipa/Levitating/,2020,7,0,16,0,3,0
Big Red Machine;Taylor Swift,Renegade (feat. Taylor Swift),True,https://www.whosampled.com/Big-Red-Machine/Renegade/,2021,0,0,1,0,0,0
Wizkid;Tems,Essence (feat. Tems),True,https://www.whosampled.com/Wizkid/Essence/,2020,2,0,2,0,1,0
Jake Owen,Made For You,True,https://www.whosampled.com/Jake-Owen/Made-For-You/,2019,0,0,2,0,0,0
Billie Eilish,Your Power,True,https://www.whosampled.com/Billie-Eilish/Your-Power/,2021,1,0,7,0,0,0
Gabby Barrett,The Good Ones,True,https://www.whosampled.com/Gabby-Barrett/The-Good-Ones/,2020,0,0,2,0,0,0
Travis Scott,goosebumps,True,https://www.whosampled.com/Travis-Scott/goosebumps/,2016,12,0,7,0,1,0
Justin Bieber,Hold On,True,https://www.whosampled.com/Justin-Bieber/Hold-On/,2021,0,0,5,0,0,0
Morgan Wallen,Wasted On You,True,https://www.whosampled.com/Morgan-Wallen/Wasted-On-You/,2021,0,0,1,0,0,0
Doja Cat,Streets,True,https://www.whosampled.com/Doja-Cat/Streets/,2019,5,0,2,0,6,0
Coldplay,Higher Power,True,https://www.whosampled.com/Coldplay/Higher-Power/,2021,0,0,0,0,3,0
Skillibeng,Crocodile Teeth,True,https://www.whosampled.com/Skillibeng/Crocodile-Teeth/,2020,0,0,0,0,2,0
Ariana Grande,34+35,True,https://www.whosampled.com/Ariana-Grande/3435/,,0,0,0,0,0,0
Ariana Grande,positions,True,https://www.whosampled.com/Ariana-Grande/positions/,2020,4,0,10,0,0,0
Tate McRae,you broke me first,True,https://www.whosampled.com/Tate-McRae/you-broke-me-first/,2020,0,0,10,0,2,0
