artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of,track_id,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,loudness,liveness,valence,track_genre,tsne_x,tsne_y
Adele,Easy On Me,True,https://www.whosampled.com/Adele/Easy-On-Me/,2021,3,0,34,0,0,0,0gplL1WMoJ6iYaPgMCL0gX,85,224694,60.4,36.6,2.82,57.8,0.0,70.41695783834149,13.3,13.0,british,72.83017,-7.187931
The Kid LAROI;Justin Bieber,STAY (with Justin Bieber),True,https://www.whosampled.com/The-Kid-LAROI/STAY/,2021,9,0,25,0,0,0,5HCyWlXZPP0y6Gqq8TgA20,89,141805,59.1,76.4,4.83,3.83,0.0,79.89750757046355,10.3,47.8,hip-hop,-30.778812,-12.166926
Walker Hayes,Fancy Like,True,https://www.whosampled.com/Walker-Hayes/Fancy-Like/,2021,2,0,3,0,2,0,58UKC45GPNTflCN6nwCUeF,77,161853,64.7,76.5,6.0,11.1,0.0,75.35522944327975,31.5,85.5,country,-19.901508,26.576206
Ed Sheeran,Bad Habits,True,https://www.whosampled.com/Ed-Sheeran/Bad-Habits/,2021,5,0,23,0,8,0,3rmo8F54jFF8OgYsqTxm5d,88,230746,80.7,89.3,3.47,4.51,0.00279,87.99906825064058,36.6,53.7,pop,-22.578844,-26.667082
Ed Sheeran,Shivers,True,https://www.whosampled.com/Ed-Sheeran/Shivers/,2021,1,0,13,0,9,0,1euRAecw6xEwkt6lPXMbFP,0,207853,78.8,85.9,8.559999999999999,28.1,0.0,92.7556487304915,4.24,82.19999999999999,pop,20.60852,3.3785682
Olivia Rodrigo,good 4 u,True,https://www.whosampled.com/Olivia-Rodrigo/good-4-u/,2021,9,0,21,0,0,0,4ZtFanR9U6ndgddUvNcjcG,88,178146,56.3,66.4,15.4,33.5,0.0,81.94735616119264,8.49,68.8,pop,30.868994,-0.4190264
Doja Cat,Need to Know,True,https://www.whosampled.com/Doja-Cat/Need-to-Know/,2021,1,0,3,0,0,0,3Vi5XqYrmQgOYBajMWSvCi,84,210560,66.4,60.9,7.07,30.4,0.0,75.12229210342419,9.26,19.4,dance,28.44555,-21.58529
Dua Lipa,Levitating,True,https://www.whosampled.com/Dua-Lipa/Levitating/,2020,7,0,16,0,3,0,39LLxExYz6ewLAcYrzQQyP,84,203807,69.5,88.4,7.53,5.609999999999999,0.0,94.83344980200329,21.3,91.4,dance,-10.573147,9.153985
Wizkid;Justin Bieber;Tems,Essence (feat. Justin Bieber & Tems),True,https://www.whosampled.com/Wizkid/Essence/,2020,2,0,2,0,1,0,1mSdbey7RstGLY2udgXv74,68,263288,83.5,69.1,11.3,1.59,0.0014399999999999,78.29489867225716,10.8,58.1,dancehall,-2.0963316,-22.265917
Doja Cat;SZA,Kiss Me More (feat. SZA),True,https://www.whosampled.com/Doja-Cat/Kiss-Me-More/,2021,6,0,13,0,1,0,748mdHapucXQri7IAO8yFK,82,208866,76.2,70.1,2.86,23.5,0.0157999999999999,88.94945259725134,12.3,74.2,dance,20.615242,-0.22473253
Glass Animals,Heat Waves,True,https://www.whosampled.com/Glass-Animals/Heat-Waves/,2020,4,0,12,0,7,0,6CDzDgIUqeDY5g8ujExx2f,85,238805,76.1,52.5,9.44,44.0,0.00067,73.30072210575355,9.21,53.1,indie-pop,38.787987,36.0649
Elton John;Dua Lipa;PNAU,Cold Heart - PNAU Remix,True,https://www.whosampled.com/Elton-John/Cold-Heart---PNAU-Remix/,2021,0,0,3,0,0,0,6JIC3hbC28JZKZ8AlAqX8h,83,202735,79.5,80.0,3.09,3.54,0.00725,76.00279524807827,9.15,93.4,rock,-3.4971347,34.150524
Doja Cat;The Weeknd,You Right,True,https://www.whosampled.com/Doja-Cat/You-Right/,2021,0,0,6,0,0,0,0k4d5YPDr1r7FX77VdqWez,84,186173,82.8,62.1,5.65,1.64,0.233,75.56487304914977,8.450000000000001,43.6,dance,1.7097756,-21.778154
The Weeknd,Save Your Tears,True,https://www.whosampled.com/The-Weeknd/Save-Your-Tears/,2020,5,0,18,0,2,0,5QO79kh1waicV47BqGRL3g,89,215626,68.0,82.6,3.09,2.12,0.00124,79.8835313300722,54.3,64.4,pop,-30.221386,-48.961636
Olivia Rodrigo,traitor,True,https://www.whosampled.com/Olivia-Rodrigo/traitor/,2021,1,0,10,0,0,0,5CZ40GBx1sQ9agT82CLQCT,88,229226,38.0,33.900000000000006,3.38,69.1,0.0,68.71185651059865,12.0,8.49,pop,83.50458,-4.8878007
Lil Nas X,MONTERO (Call Me By Your Name),True,https://www.whosampled.com/Lil-Nas-X/MONTERO/,2021,1,0,0,0,2,0,1SC5rEoYDGUK4NfG82494W,83,137704,59.3,50.3,22.0,29.3,0.0,74.11600279524808,40.5,71.0,hip-hop,16.424711,-30.260023
Swedish House Mafia;The Weeknd,Moth To A Flame (with The Weeknd),True,https://www.whosampled.com/Swedish-House-Mafia/Moth-To-A-Flame/,2021,2,0,1,0,5,0,0VO8gYVDSwM1Qdd2GsMoYK,83,234000,55.3,65.9,3.91,0.27,0.0,71.46051712089448,10.5,10.5,dance,-66.338104,10.982882
Lil Nas X,THATS WHAT I WANT,True,https://www.whosampled.com/Lil-Nas-X/THATS-WHAT-I-WANT/,2021,1,0,2,0,2,0,0e8nrvls4Qqv5Rfa2UhqmO,87,143901,73.7,84.6,22.0,0.614,0.0,84.43512695085023,4.859999999999999,54.6,hip-hop,-9.800163,-26.496798
Farruko,Pepas,True,https://www.whosampled.com/Farruko/Pepas/,2021,3,0,4,0,5,0,5fwSHlTEWpluwOM0Sxnh5k,86,287120,76.2,76.6,3.43,0.776,0.00698,87.02073142324716,12.8,44.2,latin,-57.690422,4.97801
Billie Eilish,Happier Than Ever,True,https://www.whosampled.com/Billie-Eilish/Happier-Than-Ever/,2021,3,0,13,0,0,0,1SWliBgqzayYYnvmxwbouX,0,298899,31.4,23.8,3.89,74.1,0.193,64.43978569764734,12.8,30.3,pop,87.703125,0.061708033
NEIKED;Mae Muller;Polo G,Better Days,True,https://www.whosampled.com/NEIKED/Better-Days/,2021,0,0,1,0,2,0,0De40jMXJCkHG8IbCCnTsn,0,160656,71.7,67.10000000000001,3.37,0.18,0.000254,81.79361751688798,9.21,69.89999999999999,house,-9.641079,40.00788
Jordan Davis;Luke Bryan,Buy Dirt,True,https://www.whosampled.com/Jordan-Davis/Buy-Dirt/,2021,0,0,1,0,0,0,47etYUs12o0yYHd2bQ7Hel,0,167480,58.6,55.900000000000006,5.0,63.9,0.0,74.11600279524808,8.72,43.7,country,60.515106,-0.44671366
Justin Bieber,Ghost,True,https://www.whosampled.com/Justin-Bieber/Ghost/,2021,1,0,10,0,0,0,6I3mqTwhRpn34SLVafSH7G,88,153190,60.1,74.1,4.78,18.5,0.00291,79.50151409270907,41.5,44.1,pop,-27.156406,-37.816044
Tai Verdes,A-O-K,True,https://www.whosampled.com/Tai-Verdes/A-O-K/,2021,0,0,0,0,2,0,1sx0XsWUusUoPstbvokZjP,77,173640,73.1,62.6,8.05,12.5,0.0,73.21220591660843,18.3,86.2,indie-pop,11.520003,25.09706
