artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of,track_id,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,loudness,liveness,valence,track_genre
Adele,Easy On Me,True,https://www.whosampled.com/Adele/Easy-On-Me/,2021,3,0,34,0,0,0,0gplL1WMoJ6iYaPgMCL0gX,85,224694,0.604,0.366,0.0282,0.578,0.0,-7.519,0.133,0.13,british
The Kid LAROI;Justin Bieber,STAY (with Justin Bieber),True,https://www.whosampled.com/The-Kid-LAROI/STAY/,2021,9,0,25,0,0,0,5HCyWlXZPP0y6Gqq8TgA20,89,141805,0.591,0.764,0.0483,0.0383,0.0,-5.484,0.103,0.478,hip-hop
Walker Hayes,Fancy Like,True,https://www.whosampled.com/Walker-Hayes/Fancy-Like/,2021,2,0,3,0,2,0,58UKC45GPNTflCN6nwCUeF,77,161853,0.647,0.765,0.06,0.111,0.0,-6.459,0.315,0.855,country
Ed Sheeran,Bad Habits,True,https://www.whosampled.com/Ed-Sheeran/Bad-Habits/,2021,5,0,23,0,8,0,3rmo8F54jFF8OgYsqTxm5d,88,230746,0.807,0.893,0.0347,0.0451,2.79e-05,-3.745,0.366,0.537,pop
Ed Sheeran,Shivers,True,https://www.whosampled.com/Ed-Sheeran/Shivers/,2021,1,0,13,0,9,0,1euRAecw6xEwkt6lPXMbFP,0,207853,0.788,0.859,0.0856,0.281,0.0,-2.724,0.0424,0.822,pop
Olivia Rodrigo,good 4 u,True,https://www.whosampled.com/Olivia-Rodrigo/good-4-u/,2021,9,0,21,0,0,0,4ZtFanR9U6ndgddUvNcjcG,88,178146,0.563,0.664,0.154,0.335,0.0,-5.044,0.0849,0.688,pop
Doja Cat,Need to Know,True,https://www.whosampled.com/Doja-Cat/Need-to-Know/,2021,1,0,3,0,0,0,3Vi5XqYrmQgOYBajMWSvCi,84,210560,0.664,0.609,0.0707,0.304,0.0,-6.509,0.0926,0.194,dance
Dua Lipa,Levitating,True,https://www.whosampled.com/Dua-Lipa/Levitating/,2020,7,0,16,0,3,0,39LLxExYz6ewLAcYrzQQyP,84,203807,0.695,0.884,0.0753,0.0561,0.0,-2.278,0.213,0.914,dance
Wizkid;Justin Bieber;Tems,Essence (feat. Justin Bieber & Tems),True,https://www.whosampled.com/Wizkid/Essence/,2020,2,0,2,0,1,0,1mSdbey7RstGLY2udgXv74,68,263288,0.835,0.691,0.113,0.0159,1.44e-05,-5.828,0.108,0.581,dancehall
Doja Cat;SZA,Kiss Me More (feat. SZA),True,https://www.whosampled.com/Doja-Cat/Kiss-Me-More/,2021,6,0,13,0,1,0,748mdHapucXQri7IAO8yFK,82,208866,0.762,0.701,0.0286,0.235,0.000158,-3.541,0.123,0.742,dance
Glass Animals,Heat Waves,True,https://www.whosampled.com/Glass-Animals/Heat-Waves/,2020,4,0,12,0,7,0,6CDzDgIUqeDY5g8ujExx2f,85,238805,0.761,0.525,0.0944,0.44,6.7e-06,-6.9,0.0921,0.531,indie-pop
Elton John;Dua Lipa;PNAU,Cold Heart - PNAU Remix,True,https://www.whosampled.com/Elton-John/Cold-Heart---PNAU-Remix/,2021,0,0,3,0,0,0,6JIC3hbC28JZKZ8AlAqX8h,83,202735,0.795,0.8,0.0309,0.0354,7.25e-05,-6.32,0.0915,0.934,rock
Doja Cat;The Weeknd,You Right,True,https://www.whosampled.com/Doja-Cat/You-Right/,2021,0,0,6,0,0,0,0k4d5YPDr1r7FX77VdqWez,84,186173,0.828,0.621,0.0565,0.0164,0.00233,-6.414,0.0845,0.436,dance
The Weeknd,Save Your Tears,True,https://www.whosampled.com/The-Weeknd/Save-Your-Tears/,2020,5,0,18,0,2,0,5QO79kh1waicV47BqGRL3g,89,215626,0.68,0.826,0.0309,0.0212,1.24e-05,-5.487,0.543,0.644,pop
Olivia Rodrigo,traitor,True,https://www.whosampled.com/Olivia-Rodrigo/traitor/,2021,1,0,10,0,0,0,5CZ40GBx1sQ9agT82CLQCT,88,229226,0.38,0.339,0.0338,0.691,0.0,-7.885,0.12,0.0849,pop
Lil Nas X,MONTERO (Call Me By Your Name),True,https://www.whosampled.com/Lil-Nas-X/MONTERO/,2021,1,0,0,0,2,0,1SC5rEoYDGUK4NfG82494W,83,137704,0.593,0.503,0.22,0.293,0.0,-6.725,0.405,0.71,hip-hop
Swedish House Mafia;The Weeknd,Moth To A Flame (with The Weeknd),True,https://www.whosampled.com/Swedish-House-Mafia/Moth-To-A-Flame/,2021,2,0,1,0,5,0,0VO8gYVDSwM1Qdd2GsMoYK,83,234000,0.553,0.659,0.0391,0.0027,0.0,-7.295,0.105,0.105,dance
